,date,Contract Area,value
0,2018-01-01,Sydney Metro Bus Contract 1,389381
1,2018-02-01,Sydney Metro Bus Contract 1,429725
2,2018-03-01,Sydney Metro Bus Contract 1,469557
3,2018-04-01,Sydney Metro Bus Contract 1,427345
4,2018-05-01,Sydney Metro Bus Contract 1,501314
5,2018-06-01,Sydney Metro Bus Contract 1,442598
6,2018-07-01,Sydney Metro Bus Contract 1,481811
7,2018-08-01,Sydney Metro Bus Contract 1,510926
8,2018-09-01,Sydney Metro Bus Contract 1,462927
9,2018-10-01,Sydney Metro Bus Contract 1,506676
10,2018-11-01,Sydney Metro Bus Contract 1,521433
11,2018-12-01,Sydney Metro Bus Contract 1,432004
12,2019-01-01,Sydney Metro Bus Contract 1,453530
13,2019-02-01,Sydney Metro Bus Contract 1,490800
14,2019-03-01,Sydney Metro Bus Contract 1,540057
15,2019-04-01,Sydney Metro Bus Contract 1,478033
16,2019-05-01,Sydney Metro Bus Contract 1,561499
17,2019-06-01,Sydney Metro Bus Contract 1,471266
18,2019-07-01,Sydney Metro Bus Contract 1,544622
19,2019-08-01,Sydney Metro Bus Contract 1,543465
20,2019-09-01,Sydney Metro Bus Contract 1,516174
21,2019-10-01,Sydney Metro Bus Contract 1,530872
22,2019-11-01,Sydney Metro Bus Contract 1,524046
23,2019-12-01,Sydney Metro Bus Contract 1,455946
24,2020-01-01,Sydney Metro Bus Contract 1,452466
25,2020-02-01,Sydney Metro Bus Contract 1,467925
26,2020-03-01,Sydney Metro Bus Contract 1,392860
27,2020-04-01,Sydney Metro Bus Contract 1,171160
28,2020-05-01,Sydney Metro Bus Contract 1,216827
29,2020-06-01,Sydney Metro Bus Contract 1,260477
30,2020-07-01,Sydney Metro Bus Contract 1,288798
31,2020-08-01,Sydney Metro Bus Contract 1,270591
32,2020-09-01,Sydney Metro Bus Contract 1,278146
33,2020-10-01,Sydney Metro Bus Contract 1,275385
34,2020-11-01,Sydney Metro Bus Contract 1,278318
35,2020-12-01,Sydney Metro Bus Contract 1,261170
36,2021-01-01,Sydney Metro Bus Contract 1,230528
37,2021-02-01,Sydney Metro Bus Contract 1,265311
38,2021-03-01,Sydney Metro Bus Contract 1,294367
39,2021-04-01,Sydney Metro Bus Contract 1,271849
40,2021-05-01,Sydney Metro Bus Contract 1,289229
41,2021-06-01,Sydney Metro Bus Contract 1,259924
42,2021-07-01,Sydney Metro Bus Contract 1,127354
43,2021-08-01,Sydney Metro Bus Contract 1,102883
44,2018-01-01,Sydney Metro Bus Contract 10,254654
45,2018-02-01,Sydney Metro Bus Contract 10,271544
46,2018-03-01,Sydney Metro Bus Contract 10,309397
47,2018-04-01,Sydney Metro Bus Contract 10,279281
48,2018-05-01,Sydney Metro Bus Contract 10,324698
49,2018-06-01,Sydney Metro Bus Contract 10,285549
50,2018-07-01,Sydney Metro Bus Contract 10,298326
51,2018-08-01,Sydney Metro Bus Contract 10,318719
52,2018-09-01,Sydney Metro Bus Contract 10,294307
53,2018-10-01,Sydney Metro Bus Contract 10,310159
54,2018-11-01,Sydney Metro Bus Contract 10,320409
55,2018-12-01,Sydney Metro Bus Contract 10,271779
56,2019-01-01,Sydney Metro Bus Contract 10,275888
57,2019-02-01,Sydney Metro Bus Contract 10,295751
58,2019-03-01,Sydney Metro Bus Contract 10,325870
59,2019-04-01,Sydney Metro Bus Contract 10,287613
60,2019-05-01,Sydney Metro Bus Contract 10,336282
61,2019-06-01,Sydney Metro Bus Contract 10,286403
62,2019-07-01,Sydney Metro Bus Contract 10,320116
63,2019-08-01,Sydney Metro Bus Contract 10,320095
64,2019-09-01,Sydney Metro Bus Contract 10,302353
65,2019-10-01,Sydney Metro Bus Contract 10,308028
66,2019-11-01,Sydney Metro Bus Contract 10,302794
67,2019-12-01,Sydney Metro Bus Contract 10,266044
68,2020-01-01,Sydney Metro Bus Contract 10,264519
69,2020-02-01,Sydney Metro Bus Contract 10,275857
70,2020-03-01,Sydney Metro Bus Contract 10,226776
71,2020-04-01,Sydney Metro Bus Contract 10,94238
72,2020-05-01,Sydney Metro Bus Contract 10,123556
73,2020-06-01,Sydney Metro Bus Contract 10,147425
74,2020-07-01,Sydney Metro Bus Contract 10,161987
75,2020-08-01,Sydney Metro Bus Contract 10,152598
76,2020-09-01,Sydney Metro Bus Contract 10,159180
77,2020-10-01,Sydney Metro Bus Contract 10,158962
78,2020-11-01,Sydney Metro Bus Contract 10,162961
79,2020-12-01,Sydney Metro Bus Contract 10,154219
80,2021-01-01,Sydney Metro Bus Contract 10,134105
81,2021-02-01,Sydney Metro Bus Contract 10,150126
82,2021-03-01,Sydney Metro Bus Contract 10,166609
83,2021-04-01,Sydney Metro Bus Contract 10,153757
84,2021-05-01,Sydney Metro Bus Contract 10,159822
85,2021-06-01,Sydney Metro Bus Contract 10,139241
86,2021-07-01,Sydney Metro Bus Contract 10,64712
87,2021-08-01,Sydney Metro Bus Contract 10,55196
88,2018-01-01,Sydney Metro Bus Contract 12,88411
89,2018-02-01,Sydney Metro Bus Contract 12,104102
90,2018-03-01,Sydney Metro Bus Contract 12,112426
91,2018-04-01,Sydney Metro Bus Contract 12,98133
92,2018-05-01,Sydney Metro Bus Contract 12,119591
93,2018-06-01,Sydney Metro Bus Contract 12,102444
94,2018-07-01,Sydney Metro Bus Contract 12,106136
95,2018-08-01,Sydney Metro Bus Contract 12,116446
96,2018-09-01,Sydney Metro Bus Contract 12,104826
97,2018-10-01,Sydney Metro Bus Contract 12,112918
98,2018-11-01,Sydney Metro Bus Contract 12,118319
99,2018-12-01,Sydney Metro Bus Contract 12,88956
100,2019-01-01,Sydney Metro Bus Contract 12,98992
101,2019-02-01,Sydney Metro Bus Contract 12,114156
102,2019-03-01,Sydney Metro Bus Contract 12,122079
103,2019-04-01,Sydney Metro Bus Contract 12,102834
104,2019-05-01,Sydney Metro Bus Contract 12,127407
105,2019-06-01,Sydney Metro Bus Contract 12,104339
106,2019-07-01,Sydney Metro Bus Contract 12,116913
107,2019-08-01,Sydney Metro Bus Contract 12,119298
108,2019-09-01,Sydney Metro Bus Contract 12,112390
109,2019-10-01,Sydney Metro Bus Contract 12,114734
110,2019-11-01,Sydney Metro Bus Contract 12,111894
111,2019-12-01,Sydney Metro Bus Contract 12,92196
112,2020-01-01,Sydney Metro Bus Contract 12,94238
